CUENCA;LABEL;START_NODE;STOP_NODE;STARTPNT_X;STARTPNT_Y;ENDPNT_X;ENDPNT_Y;ORIGEN_DATO;MAXIMA_CAP;DIAMETRO;CAUDAL_MAX;REL_MAXCAP_CAUDALMAX;COTA_INV_INICIO;COTA_INV_FIN;SUMERGIDO1;SUMERGIDO2;IS_ACTIVE;LONGITUD;MATERIAL;TIPO_AGUA;TIPO_RED;ESTADO;PENDIENTE;CONDICION;COLECTOR;CRUCE;D_INT_PROY;text
LA MINA;9084579;9084557;9084563;-75.6030528036;6.1562083751;-75.6030921517;6.1562386811;null;0;0;-1;-1;0.00;0.00;0;0;False;5.50;PVC;RESIDUALES;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :5.5<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;6064222;6064112;6064114;-75.6032210621;6.1612960817;-75.6032575131;6.1613427587;null;0;0;-1;-1;0.00;0.00;0;0;False;6.60;Concrete;COMBINADAS;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :6.6<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9742382;9742615;9742618;-75.6025679386;6.1564521766;-75.6025948597;6.1564948455;null;0;0;-1;-1;0.00;0.00;0;0;False;5.60;PVC;COMBINADAS;SECUNDARIA;DISENO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :5.6<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084578;9084556;9084557;-75.6030361252;6.1561585348;-75.6030528036;6.1562083751;null;0;0;-1;-1;0.00;0.00;0;0;False;5.80;PVC;RESIDUALES;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :5.8<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9179760;9179754;9071133;-75.6054781594;6.1571486535;-75.6055058937;6.1571944858;null;0;0;-1;-1;0.00;0.00;0;0;False;5.90;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :5.9<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084582;9084565;9067166;-75.6031185754;6.1564188299;-75.6031596807;6.1564545369;null;0;0;-1;-1;0.00;0.00;0;0;False;6.00;PVC;RESIDUALES;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :6<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9071190;9071141;9071145;-75.6058437589;6.1577581590;-75.6058931791;6.1577829721;null;0;0;-1;-1;0.00;0.00;0;0;False;6.10;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :6.1<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084566;9084552;9084553;-75.6025584256;6.1563963145;-75.6026054340;6.1563636318;null;0;0;-1;-1;0.00;0.00;0;0;False;6.30;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :6.3<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084597;9084583;9084565;-75.6030628599;6.1564053984;-75.6031185754;6.1564188299;null;0;0;-1;-1;0.00;0.00;0;0;False;6.30;PVC;RESIDUALES;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :6.3<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084592;9084589;9084588;-75.6029457098;6.1565524626;-75.6029726236;6.1565005384;null;0;0;-1;-1;0.00;0.00;0;0;False;6.50;PVC;RESIDUALES;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :6.5<br>Pendiente  :0<br>Diam. interno proyectado mm :0
