Cuenca;Aliviadero;Colector;Condicion;Caudal;Fecha;Hora;Datos;
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:20 a. m.;1.33333;154.38;
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:25 a. m.;1.41667;153.97;
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:30 a. m.;1.50000;153.66;
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:35 a. m.;1.58333;153.40;
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:40 a. m.;1.66667;153.15;
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:45 a. m.;1.75000;152.91;
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:50 a. m.;1.83333;152.68;
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 11:55 a. m.;1.91667;152.44;
La Doctora;6073236;La Escuela;Lluvia;Combinado;1/01/2000 12:00 p. m.;2.00000;152.20;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:05 a. m.;0.08333;21.35;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:10 a. m.;0.16667;499.59;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:15 a. m.;0.25000;698.83;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:20 a. m.;0.33333;786.06;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:25 a. m.;0.41667;915.83;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:30 a. m.;0.50000;916.78;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:35 a. m.;0.58333;909.12;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:40 a. m.;0.66667;898.90;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:45 a. m.;0.75000;892.90;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:50 a. m.;0.83333;881.93;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:55 a. m.;0.91667;779.87;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:00 a. m.;1.00000;290.84;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:05 a. m.;1.08333;234.40;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:10 a. m.;1.16667;219.76;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:15 a. m.;1.25000;215.61;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:20 a. m.;1.33333;214.14;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:25 a. m.;1.41667;213.52;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:30 a. m.;1.50000;213.10;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:35 a. m.;1.58333;212.72;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:40 a. m.;1.66667;212.37;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:45 a. m.;1.75000;212.03;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:50 a. m.;1.83333;211.70;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:55 a. m.;1.91667;211.38;
La Doctora;6073236;La Escuela;Lluvia;Residual Diluido;1/01/2000 12:00 p. m.;2.00000;211.05;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 10:05 a. m.;0.08333;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 10:10 a. m.;0.16667;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 10:15 a. m.;0.25000;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 10:20 a. m.;0.33333;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 10:25 a. m.;0.41667;1241.76;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 10:30 a. m.;0.50000;1277.92;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 10:35 a. m.;0.58333;841.43;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 10:40 a. m.;0.66667;313.96;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 10:45 a. m.;0.75000;106.80;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 10:50 a. m.;0.83333;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 10:55 a. m.;0.91667;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:00 a. m.;1.00000;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:05 a. m.;1.08333;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:10 a. m.;1.16667;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:15 a. m.;1.25000;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:20 a. m.;1.33333;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:25 a. m.;1.41667;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:30 a. m.;1.50000;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:35 a. m.;1.58333;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:40 a. m.;1.66667;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:45 a. m.;1.75000;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:50 a. m.;1.83333;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 11:55 a. m.;1.91667;0.00;
La Doctora;6073236;La Escuela;Lluvia;Pluvial;1/01/2000 12:00 p. m.;2.00000;0.00;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 10:05 a. m.;0.08333;146.53;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 10:10 a. m.;0.16667;147.38;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 10:15 a. m.;0.25000;147.93;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 10:20 a. m.;0.33333;148.43;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 10:25 a. m.;0.41667;148.93;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 10:30 a. m.;0.50000;149.49;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 10:35 a. m.;0.58333;149.91;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 10:40 a. m.;0.66667;150.40;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 10:45 a. m.;0.75000;150.89;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 10:50 a. m.;0.83333;151.38;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 10:55 a. m.;0.91667;151.88;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:00 a. m.;1.00000;152.37;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:05 a. m.;1.08333;152.80;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:10 a. m.;1.16667;152.82;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:15 a. m.;1.25000;152.63;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:20 a. m.;1.33333;152.39;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:25 a. m.;1.41667;152.16;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:30 a. m.;1.50000;151.92;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:35 a. m.;1.58333;151.69;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:40 a. m.;1.66667;151.46;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:45 a. m.;1.75000;151.22;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:50 a. m.;1.83333;150.99;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 11:55 a. m.;1.91667;150.75;
La Doctora;9450117;La Escuela;Seco;Residual;1/01/2000 12:00 p. m.;2.00000;150.52;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 10:05 a. m.;0.08333;5.05;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 10:10 a. m.;0.16667;318.64;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 10:15 a. m.;0.25000;437.80;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 10:20 a. m.;0.33333;537.90;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 10:25 a. m.;0.41667;710.99;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 10:30 a. m.;0.50000;751.13;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 10:35 a. m.;0.58333;727.62;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 10:40 a. m.;0.66667;691.13;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 10:45 a. m.;0.75000;626.50;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 10:50 a. m.;0.83333;553.03;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 10:55 a. m.;0.91667;307.65;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:00 a. m.;1.00000;200.55;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:05 a. m.;1.08333;164.73;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:10 a. m.;1.16667;155.58;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:15 a. m.;1.25000;153.35;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:20 a. m.;1.33333;152.60;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:25 a. m.;1.41667;152.21;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:30 a. m.;1.50000;151.93;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:35 a. m.;1.58333;151.67;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:40 a. m.;1.66667;151.43;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:45 a. m.;1.75000;151.19;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:50 a. m.;1.83333;150.95;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 11:55 a. m.;1.91667;150.72;
La Doctora;9450117;La Escuela;Lluvia;Combinado;1/01/2000 12:00 p. m.;2.00000;150.48;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 10:05 a. m.;0.08333;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 10:10 a. m.;0.16667;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 10:15 a. m.;0.25000;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 10:20 a. m.;0.33333;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 10:25 a. m.;0.41667;50.60;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 10:30 a. m.;0.50000;88.58;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 10:35 a. m.;0.58333;29.97;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 10:40 a. m.;0.66667;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 10:45 a. m.;0.75000;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 10:50 a. m.;0.83333;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 10:55 a. m.;0.91667;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:00 a. m.;1.00000;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:05 a. m.;1.08333;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:10 a. m.;1.16667;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:15 a. m.;1.25000;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:20 a. m.;1.33333;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:25 a. m.;1.41667;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:30 a. m.;1.50000;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:35 a. m.;1.58333;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:40 a. m.;1.66667;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:45 a. m.;1.75000;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:50 a. m.;1.83333;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 11:55 a. m.;1.91667;0.00;
La Doctora;9450117;La Escuela;Lluvia;Pluvial;1/01/2000 12:00 p. m.;2.00000;0.00;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:05 a. m.;0.08333;1.62;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:10 a. m.;0.16667;313.21;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:15 a. m.;0.25000;438.38;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:20 a. m.;0.33333;535.97;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:25 a. m.;0.41667;661.07;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:30 a. m.;0.50000;662.94;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:35 a. m.;0.58333;704.41;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:40 a. m.;0.66667;689.05;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:45 a. m.;0.75000;639.47;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:50 a. m.;0.83333;569.83;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 10:55 a. m.;0.91667;315.37;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:00 a. m.;1.00000;202.16;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:05 a. m.;1.08333;165.34;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:10 a. m.;1.16667;155.96;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:15 a. m.;1.25000;153.68;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:20 a. m.;1.33333;152.90;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:25 a. m.;1.41667;152.51;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:30 a. m.;1.50000;152.21;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:35 a. m.;1.58333;151.96;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:40 a. m.;1.66667;151.71;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:45 a. m.;1.75000;151.47;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:50 a. m.;1.83333;151.24;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 11:55 a. m.;1.91667;151.00;
La Doctora;9450117;La Escuela;Lluvia;Residual Diluido;1/01/2000 12:00 p. m.;2.00000;150.77;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 10:05 a. m.;0.08333;42.33;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 10:10 a. m.;0.16667;42.49;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 10:15 a. m.;0.25000;42.63;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 10:20 a. m.;0.33333;42.78;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 10:25 a. m.;0.41667;42.92;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 10:30 a. m.;0.50000;43.06;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 10:35 a. m.;0.58333;43.20;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 10:40 a. m.;0.66667;43.34;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 10:45 a. m.;0.75000;43.49;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 10:50 a. m.;0.83333;43.63;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 10:55 a. m.;0.91667;43.77;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:00 a. m.;1.00000;43.91;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:05 a. m.;1.08333;43.98;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:10 a. m.;1.16667;43.93;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:15 a. m.;1.25000;43.86;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:20 a. m.;1.33333;43.79;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:25 a. m.;1.41667;43.72;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:30 a. m.;1.50000;43.66;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:35 a. m.;1.58333;43.59;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:40 a. m.;1.66667;43.52;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:45 a. m.;1.75000;43.45;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:50 a. m.;1.83333;43.39;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 11:55 a. m.;1.91667;43.32;
La Doctora;8583335;La Escuela;Seco;Residual;1/01/2000 12:00 p. m.;2.00000;43.25;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 10:05 a. m.;0.08333;68.20;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 10:10 a. m.;0.16667;151.05;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 10:15 a. m.;0.25000;221.64;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 10:20 a. m.;0.33333;394.32;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 10:25 a. m.;0.41667;1507.58;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 10:30 a. m.;0.50000;1382.28;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 10:35 a. m.;0.58333;794.70;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 10:40 a. m.;0.66667;432.14;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 10:45 a. m.;0.75000;262.91;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 10:50 a. m.;0.83333;135.45;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 10:55 a. m.;0.91667;62.00;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:00 a. m.;1.00000;47.86;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:05 a. m.;1.08333;44.78;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:10 a. m.;1.16667;44.06;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:15 a. m.;1.25000;43.87;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:20 a. m.;1.33333;43.78;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:25 a. m.;1.41667;43.72;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:30 a. m.;1.50000;43.65;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:35 a. m.;1.58333;43.58;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:40 a. m.;1.66667;43.51;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:45 a. m.;1.75000;43.45;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:50 a. m.;1.83333;43.38;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 11:55 a. m.;1.91667;43.31;
La Doctora;8583335;La Escuela;Lluvia;Combinado;1/01/2000 12:00 p. m.;2.00000;43.24;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 10:05 a. m.;0.08333;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 10:10 a. m.;0.16667;88.14;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 10:15 a. m.;0.25000;156.48;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 10:20 a. m.;0.33333;324.46;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 10:25 a. m.;0.41667;1389.96;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 10:30 a. m.;0.50000;1292.62;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 10:35 a. m.;0.58333;722.32;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 10:40 a. m.;0.66667;354.84;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 10:45 a. m.;0.75000;186.07;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 10:50 a. m.;0.83333;64.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 10:55 a. m.;0.91667;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 11:00 a. m.;1.00000;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 11:05 a. m.;1.08333;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 11:10 a. m.;1.16667;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 11:15 a. m.;1.25000;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 11:20 a. m.;1.33333;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 11:25 a. m.;1.41667;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 11:30 a. m.;1.50000;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 11:35 a. m.;1.58333;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 11:40 a. m.;1.66667;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 11:45 a. m.;1.75000;0.00;
La Doctora;8583335;La Escuela;Lluvia;Pluvial;1/01/2000 11:50 a. m.;1.83333;0.00;
